gacha_id,banner_name,user_count,warp_count,jade_spent,avg_5_pity,avg_4_pity,rate_5050,image_url,item_id
2062,Indelible Coterie: Silver Wolf,,,,,,,contract-zero.png,1006
3062,Incessant Rain,,,,,,,incessant-rain.png,23007
2063,Back to Fons et Origo,,,,,,,back-to-fons-et-origo.png,1403
3063,If Time Were a Flower,,,,,,,if-time-were-a-flower.png,23038
2064,"Earth Hurled, Ether Curled",,,,,,,earth-hurled-ether-curled.png,1221
3064,Dance at Sunset,,,,,,,dance-at-sunset.png,23030
2065,Fiery Lionheart,,,,,,,fiery-lionheart.png,1404
3065,Flame of Blood Blaze My Path,,,,,,,flame-of-blood-blaze-my-path.png,23039
2066,Bloom in Gloom,,,,,,,bloom-in-gloom.png,1217
3066,Night of Fright,,,,,,,night-of-fright.png,23017
2067,Blossom to the Beyond,,,,,,,blossom-to-the-beyond.png,1407
3067,Make Farewells More Beautiful,,,,,,,make-farewells-more-beautiful.png,23040
2068,Indelible Coterie: Fugue,,,,,,,the-long-voyage-home.png,1225
3068,Long Road Leads Home,,,,,,,long-road-leads-home.png,23035
2069,Indelible Coterie: Jiaoqiu,,,,,,,cauldron-contrivance.png,1218
3069,Those Many Springs,,,,,,,those-many-springs.png,23029
2070,Indelible Coterie: Acheron,,,,,,,words-of-yore.png,1308
3070,Along the Passing Shore,,,,,,,along-the-passing-shore.png,23024
